event_name,f_1,f_2,title_fight,weight_class,gender,fight_url,event_url
UFC Fight Night: Barboza vs. Murphy,Themba Gorimbo,Ramiz Brahimaj,F,Welterweight,M,http://ufcstats.com/fight-details/20220ace492af368,http://ufcstats.com/event-details/46baf0f57edfa4df
UFC Fight Night: Barboza vs. Murphy,Abus Magomedov,Warlley Alves,F,Middleweight,M,http://ufcstats.com/fight-details/fc2bdd67c1a056a4,http://ufcstats.com/event-details/46baf0f57edfa4df
UFC Fight Night: Barboza vs. Murphy,Victor Martinez,Tom Nolan,F,Lightweight,M,http://ufcstats.com/fight-details/b5df5a0a0bda9256,http://ufcstats.com/event-details/46baf0f57edfa4df
UFC Fight Night: Barboza vs. Murphy,Hailey Cowan,Tamires Vidal,F,Women's Bantamweight,F,http://ufcstats.com/fight-details/7986e4e432dc38c3,http://ufcstats.com/event-details/46baf0f57edfa4df
UFC Fight Night: Barboza vs. Murphy,Piera Rodriguez,Ariane Carnelossi,F,Women's Strawweight,F,http://ufcstats.com/fight-details/28c6de749d0d0e9d,http://ufcstats.com/event-details/46baf0f57edfa4df
UFC Fight Night: Barboza vs. Murphy,Vanessa Demopoulos,Emily Ducote,F,Women's Strawweight,F,http://ufcstats.com/fight-details/069df63733dcf697,http://ufcstats.com/event-details/46baf0f57edfa4df
UFC Fight Night: Barboza vs. Murphy,Tim Elliott,Tatsuro Taira,F,Flyweight,M,http://ufcstats.com/fight-details/ef86961784f89c76,http://ufcstats.com/event-details/46baf0f57edfa4df
UFC 302: Makhachev vs. Poirier,Islam Makhachev,Dustin Poirier,T,Lightweight,M,http://ufcstats.com/fight-details/1a0031e2072f21b6,http://ufcstats.com/event-details/6e4acc2c115215b5
UFC 302: Makhachev vs. Poirier,Sean Strickland,Paulo Costa,F,Middleweight,M,http://ufcstats.com/fight-details/9e7538a788e6d789,http://ufcstats.com/event-details/6e4acc2c115215b5
UFC 302: Makhachev vs. Poirier,Randy Brown,Elizeu Zaleski dos Santos,F,Welterweight,M,http://ufcstats.com/fight-details/fd2d814a8a23798f,http://ufcstats.com/event-details/6e4acc2c115215b5
UFC 302: Makhachev vs. Poirier,Cesar Almeida,Roman Kopylov,F,Middleweight,M,http://ufcstats.com/fight-details/ee24be90a01f552e,http://ufcstats.com/event-details/6e4acc2c115215b5
UFC 302: Makhachev vs. Poirier,Sumudaerji,Joshua Van,F,Flyweight,M,http://ufcstats.com/fight-details/c891fda0bf73b88f,http://ufcstats.com/event-details/6e4acc2c115215b5
UFC 302: Makhachev vs. Poirier,HyunSung Park,Andre Lima,F,Flyweight,M,http://ufcstats.com/fight-details/784d811d14d13f72,http://ufcstats.com/event-details/6e4acc2c115215b5
UFC 302: Makhachev vs. Poirier,Niko Price,Jeremiah Wells,F,Welterweight,M,http://ufcstats.com/fight-details/333ddec495e54c68,http://ufcstats.com/event-details/6e4acc2c115215b5
UFC 302: Makhachev vs. Poirier,Jailton Almeida,Alexandr Romanov,F,Heavyweight,M,http://ufcstats.com/fight-details/c0af8cf5befb2dcf,http://ufcstats.com/event-details/6e4acc2c115215b5
UFC 302: Makhachev vs. Poirier,Roman Dolidze,Anthony Hernandez,F,Middleweight,M,http://ufcstats.com/fight-details/f5ed33da6465486c,http://ufcstats.com/event-details/6e4acc2c115215b5
UFC 302: Makhachev vs. Poirier,Mickey Gall,Bassil Hafez,F,Welterweight,M,http://ufcstats.com/fight-details/7d9bb6fda0ea1ee0,http://ufcstats.com/event-details/6e4acc2c115215b5
UFC 302: Makhachev vs. Poirier,Phil Rowe,Jake Matthews,F,Welterweight,M,http://ufcstats.com/fight-details/b7575b0ec9f81741,http://ufcstats.com/event-details/6e4acc2c115215b5
UFC 302: Makhachev vs. Poirier,Grant Dawson,Joe Solecki,F,Lightweight,M,http://ufcstats.com/fight-details/cf306c4714530f31,http://ufcstats.com/event-details/6e4acc2c115215b5
UFC 302: Makhachev vs. Poirier,Ailin Perez,Joselyne Edwards,F,Women's Bantamweight,F,http://ufcstats.com/fight-details/2554b31a07f34e1a,http://ufcstats.com/event-details/6e4acc2c115215b5
UFC Fight Night,Brad Katona,Jesse Butler,F,Bantamweight,M,http://ufcstats.com/fight-details/4c0adccb34c1d995,http://ufcstats.com/event-details/cba3a2dfbc06ce79
UFC Fight Night,Cody Stamann,Taylor Lapilus,F,Bantamweight,M,http://ufcstats.com/fight-details/753735b48b1c20b9,http://ufcstats.com/event-details/cba3a2dfbc06ce79
UFC Fight Night,Raul Rosas Jr.,Ricky Turcios,F,Bantamweight,M,http://ufcstats.com/fight-details/b34abcfe4c2e8a57,http://ufcstats.com/event-details/cba3a2dfbc06ce79
UFC Fight Night,Miguel Baeza,Punahele Soriano,F,Welterweight,M,http://ufcstats.com/fight-details/393f9bc7b51791a6,http://ufcstats.com/event-details/cba3a2dfbc06ce79
UFC Fight Night,Thiago Moises,Ludovit Klein,F,Lightweight,M,http://ufcstats.com/fight-details/251983e1bdae20fe,http://ufcstats.com/event-details/cba3a2dfbc06ce79
